freq_mhz,step,ue_id,sinr_eff_db,prx_dbm,se_la,se_shannon,se_gap_pct,tbler_step,tbler_running
3500.0,1,0,-30.0,-38.70582515407277,0.0,0.0014419741928577423,100.0,,1.0
3500.0,1,1,30.0,-17.764891151927095,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0
3500.0,1,2,-30.0,-47.123020360031504,0.0,0.0014419741928577423,100.0,,1.0
3500.0,2,0,30.0,-38.705817423166266,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0
3500.0,2,1,-30.0,-17.76489056170756,0.0,0.0014419741928577423,100.0,,0.0
3500.0,2,2,30.0,-47.123020360031504,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0
3500.0,3,0,-30.0,-38.705919071369394,0.0,0.0014419741928577423,100.0,,0.0
3500.0,3,1,-30.0,-17.764890856817317,0.0,0.0014419741928577423,100.0,,0.0
3500.0,3,2,30.0,-47.123020360031504,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,4,0,30.0,-38.70581713683666,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,4,1,30.0,-17.764890856817317,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,4,2,-30.0,-47.12301986283674,0.0,0.0014419741928577423,100.0,,0.0
3500.0,5,0,-30.0,-38.70581770949589,0.0,0.0014419741928577423,100.0,,0.0
3500.0,5,1,30.0,-17.764892037256544,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,5,2,-30.0,-47.123020360031504,0.0,0.0014419741928577423,100.0,,0.0
3500.0,6,0,30.0,-38.70581770949589,0.0,9.967226028442383,100.0,1.0,0.33333333333333337
3500.0,6,1,-30.0,-17.76489056170756,0.0,0.0014419741928577423,100.0,,0.0
3500.0,6,2,-30.0,-47.123020360031504,0.0,0.0014419741928577423,100.0,,0.0
3500.0,7,0,30.0,-38.70581713683666,5.5546875,9.967226028442383,44.270477220550674,0.0,0.25
3500.0,7,1,-30.0,-17.764891151927095,0.0,0.0014419741928577423,100.0,,0.0
3500.0,7,2,-30.0,-47.123020360031504,0.0,0.0014419741928577423,100.0,,0.0
3500.0,8,0,-30.0,-38.70581770949589,0.0,0.0014419741928577423,100.0,,0.25
3500.0,8,1,-30.0,-17.764891151927095,0.0,0.0014419741928577423,100.0,,0.0
3500.0,8,2,24.068035125732422,-47.12301986283674,5.5546875,8.000871658325195,30.57397072205067,0.0,0.0
3500.0,9,0,-30.0,-38.70591105395991,0.0,0.0014419741928577423,100.0,,0.25
3500.0,9,1,30.0,-17.764891447036888,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
