freq_mhz,step,ue_id,prx_dbm,prx_dbm_theo
3500.0,19,2,-92.80041637394918,-57.95870115829316
3500.0,19,3,-78.89741231984877,-54.51444238050319
3500.0,19,4,-72.68538986583977,-54.60363532559002
3500.0,20,0,-71.68465263005348,-47.61375221073256
3500.0,20,1,-72.76317287816082,-54.504768566925314
3500.0,20,2,-92.26111387375015,-57.910273694326094
3500.0,20,3,-79.0454538740341,-54.4632612663846
3500.0,20,4,-72.59966673429405,-54.58755448768895
3500.0,21,0,-71.60875358768187,-47.49376902988867
3500.0,21,1,-72.80660193292833,-54.53225020020692
3500.0,21,2,-90.54698936486737,-57.86046542659064
3500.0,21,3,-78.98960387107422,-54.41058660782366
3500.0,21,4,-72.51451798214214,-54.57226256249149
3500.0,22,0,-71.53439712812009,-47.374663653243346
3500.0,22,1,-72.84657687562337,-54.56127585956141
3500.0,22,2,-90.29258216145463,-57.80941611651875
3500.0,22,3,-78.92044025683204,-54.35659031979897
3500.0,22,4,-72.42908715698951,-54.55780716496707
3500.0,23,0,-71.42965171794528,-47.257115542608695
3500.0,23,1,-72.8988716684509,-54.59174790153064
3500.0,23,2,-89.68614704562349,-57.75724500408284
3500.0,23,3,-78.86099637727975,-54.301428307225365
3500.0,23,4,-72.35469092497229,-54.5442500051432
3500.0,24,0,-71.35396636184072,-47.14179677211083
3500.0,24,1,-72.85189851531312,-54.62358027169464
3500.0,24,2,-89.05261703438363,-57.70405132944257
3500.0,24,3,-78.78839166963722,-54.24522894021642
3500.0,24,4,-72.3032701156493,-54.53164526449902
3500.0,25,0,-71.27669855943839,-47.029223211529136
3500.0,25,1,-72.91566297632407,-54.65666688119065
3500.0,25,2,-88.36263650182855,-57.64991428506652
3500.0,25,3,-78.7260202637009,-54.18808505923728
3500.0,25,4,-72.21555175216682,-54.520015774109815
3500.0,26,0,-71.19969959841812,-46.91984896820116
3500.0,26,1,-72.98237584981237,-54.69090271195802
3500.0,26,2,-82.18491399828633,-57.594898524098895
3500.0,26,3,-78.67157720273241,-54.13006644737722
3500.0,26,4,-72.06296478307387,-54.509372236179985
3500.0,27,0,-71.12248053498531,-46.81437661824798
3500.0,27,1,-73.05262214698595,-54.72623140864038
3500.0,27,2,-82.23536296524004,-57.53906800934002
3500.0,27,3,-78.59904385979178,-54.07126156026879
3500.0,27,4,-71.98791760963418,-54.49975859050497
3500.0,28,0,-71.04751221896225,-46.7135531102882
3500.0,28,1,-73.30916009333798,-54.76260595501054
3500.0,28,2,-81.65661209470736,-57.48248127311871
3500.0,28,3,-78.5354753618333,-54.01175440152112
3500.0,28,4,-71.91006955780941,-54.49121942991495
3500.0,29,0,-70.97859490551221,-46.61793263313447
3500.0,29,1,-73.45365282336647,-54.799952382006715
3500.0,29,2,-81.68541807468083,-57.42518393460607
3500.0,29,3,-78.46979026532927,-53.95159989836338
3500.0,29,4,-71.8334611324041,-54.48376775669429
3500.0,30,0,-70.90726757709643,-46.52791197555556
3500.0,30,1,-73.54850595640951,-54.83818048730602
3500.0,30,2,-81.6974531681444,-57.36721021002987
3500.0,30,3,-78.40334005288513,-53.89082991673257
3500.0,30,4,-71.75568703380989,-54.477393451164794
3500.0,31,0,-70.8402511206004,-46.444193412597954
3500.0,31,1,-73.65006179870556,-54.87725199198084
3500.0,31,2,-81.69574734754191,-57.30860154203135
3500.0,31,3,-78.30795072881938,-53.82950794660757
3500.0,31,4,-71.68124778792506,-54.4721280043406
3500.0,32,0,-70.77520231353108,-46.36749560824259
3500.0,32,1,-73.761426548242,-54.9171342499106
3500.0,32,2,-81.68327248772778,-57.24939664232526
3500.0,32,3,-78.2398726461725,-53.767697054497454
3500.0,32,4,-71.61023887184027,-54.46800331391876
3500.0,33,0,-70.71563578972709,-46.298280430306576
3500.0,33,1,-73.8694573885085,-54.95776620816452
3500.0,33,2,-81.6686361069695,-57.189621210106615
3500.0,33,3,-78.16731622207448,-53.705429309462644
3500.0,33,4,-71.53942651939187,-54.465018203831306
3500.0,34,0,-70.64426609926919,-46.23679048104954
3500.0,34,1,-73.9728776375178,-54.999069154136805
3500.0,34,2,-81.63940632359996,-57.12928977414646
3500.0,34,3,-78.08118583593945,-53.64270926345713
3500.0,34,4,-71.52603001459086,-54.46314719238383
3500.0,35,0,-70.59570459778436,-46.18350965481284
3500.0,35,1,-74.08678835186689,-55.04100428354519
3500.0,35,2,-81.60421070014391,-57.06842583788777
3500.0,35,3,-78.01616385126476,-53.57957399926043
3500.0,35,4,-71.46887009670395,-54.462399537561716
3500.0,36,0,-70.55536030954866,-46.13912716364294
3500.0,36,1,-74.20316142384505,-55.08356513230626
3500.0,36,2,-81.5642236486444,-57.00706047241469
3500.0,36,3,-77.94560933377868,-53.51608754715505
3500.0,36,4,-71.40066997553832,-54.462813359593596
3500.0,37,0,-70.52292931587543,-46.10351422311043
3500.0,37,1,-74.32484725285134,-55.126658126167925
3500.0,37,2,-81.52023324636657,-56.94519001609164
3500.0,37,3,-77.87643442949731,-53.45221955941345
3500.0,37,4,-71.43429955225935,-54.46433191320857
3500.0,38,0,-70.49805435518539,-46.077145264090014
3500.0,38,1,-74.44627829644364,-55.170271006384006
3500.0,38,2,-81.4724736771622,-56.882836551187644
3500.0,38,3,-77.80745345061625,-53.3880158067375
3500.0,38,4,-71.37216471327292,-54.46697896545146
3500.0,39,0,-70.47639769777297,-46.06037394399936
3500.0,39,1,-74.57000882375854,-55.214385768546826
3500.0,39,2,-81.42257169440612,-56.8200176885165
3500.0,39,3,-77.73127249926334,-53.32351692432828
3500.0,39,4,-71.31587750544824,-54.47076932159901
3500.0,40,0,-70.47033444830424,-46.05311893622406
3500.0,40,1,-74.70492102817907,-55.258946833459504
3500.0,40,2,-81.3697974231715,-56.756734118813
3500.0,40,3,-77.6604314851306,-53.25871609455099
3500.0,40,4,-73.20720988764009,-54.475673616114726
3500.0,41,0,-70.4735603347869,-46.055356560993246
3500.0,41,1,-74.83231196134054,-55.30391593835928
3500.0,41,2,-81.31497183541272,-56.69298926069883
3500.0,41,3,-77.59043540745758,-53.19362033360562
3500.0,41,4,-73.19037165011105,-54.48167701538514
3500.0,42,0,-70.48507538712005,-46.06729323327828
3500.0,42,1,-74.9521353107963,-55.34928908639788
3500.0,42,2,-81.25839431904589,-56.62880052761436
3500.0,42,3,-77.51868089367346,-53.12827035215485
3500.0,42,4,-73.17240058173351,-54.48879982048727
3500.0,43,0,-70.55964756575389,-46.08851518429117
3500.0,43,1,-75.08254381013654,-55.395006019008896
3500.0,43,2,-81.19938388968812,-56.56415681731887
3500.0,43,3,-77.44579419762972,-53.062636815428306
3500.0,43,4,-73.14230738032656,-54.49699575377289
3500.0,44,0,-70.59142029172035,-46.11896505107971
3500.0,44,1,-75.2273830187028,-55.44105320207848
3500.0,44,2,-81.13990941689676,-56.499066409073954
3500.0,44,3,-77.37313777788259,-52.99674681886562
3500.0,44,4,-73.13321155366543,-54.5062687050976
3500.0,45,0,-70.63901046931575,-46.158505892649245
3500.0,45,1,-75.42506138836069,-55.487416472992244
3500.0,45,2,-81.079201819807,-56.43353613630238
3500.0,45,3,-77.29614157358583,-52.930625592351085
3500.0,45,4,-73.14306195944623,-54.51661962510359
3500.0,46,0,-70.68676871701173,-46.206825904684734
3500.0,46,1,-75.56102678051491,-55.534071245141064
3500.0,46,2,-81.01761512325793,-56.367564790365925
3500.0,46,3,-75.60612350880672,-52.86428145925485
3500.0,46,4,-73.14083935897798,-54.52803554165099
3500.0,47,0,-70.74258083474268,-46.2633548436924
3500.0,47,1,-75.71381135229632,-55.580973181660895
3500.0,47,2,-80.95441073680428,-56.30113967929016
3500.0,47,3,-75.54655117857948,-52.797674662671525
3500.0,47,4,-81.9808022284397,-54.540476698281196
3500.0,48,0,-70.80549661444307,-46.32770333893072
3500.0,48,1,-75.93603700248097,-55.62810179150232
3500.0,48,2,-80.89023307935949,-56.234258725681016
3500.0,48,3,-75.48659477718198,-52.73081041887258
3500.0,48,4,-81.81679423166966,-54.55392939892466
3500.0,49,0,-70.94913893287992,-46.399579636007715
3500.0,49,1,-76.09345808170382,-55.67545120631517
3500.0,49,2,-80.82504731951582,-56.16692643895443
3500.0,49,3,-75.42660865751763,-52.663716828477845
3500.0,49,4,-81.66564212754368,-54.568395992319935
3500.0,50,0,-71.03640124916701,-46.47850262381368
3500.0,50,1,-76.23983803184346,-55.7230004004126
3500.0,50,2,-80.75885369563652,-56.09913739107827
3500.0,50,3,-75.36705983442354,-52.59639512544241
3500.0,50,4,-81.24306802918879,-54.583857904196265
3500.0,51,0,-71.13096339925033,-46.5639873082355
3500.0,51,1,-76.58007992220388,-55.77073037609284
3500.0,51,2,-80.27733125486063,-56.03088695584504
3500.0,51,3,-75.30675310853195,-52.52881669441325
3500.0,51,4,-81.06485056214945,-54.60029818633528
3500.0,52,0,-71.23237748058095,-46.65564080330394
3500.0,52,1,-76.73256365919988,-55.81863454586212
3500.0,52,2,-80.2105889057643,-55.962175869541454
3500.0,52,3,-75.23533015955515,-52.46100200520601
3500.0,52,4,-81.77380738731573,-54.61771310569412
3500.0,53,0,-71.34141535993393,-46.75296425397275
3500.0,53,1,-76.89343823536811,-55.86669615600041
3500.0,53,2,-80.14300577360387,-55.892997754413486
3500.0,53,3,-74.89518063850541,-52.392954739414414
3500.0,53,4,-81.77378381200302,-54.63608557049475
3500.0,54,0,-71.45478350823467,-46.85537630521445
3500.0,54,1,-77.0438843407675,-55.91489015244981
3500.0,54,2,-80.06464197753434,-55.8233402424407
3500.0,54,3,-74.83457280718503,-52.32466348190237
3500.0,54,4,-83.73016152806397,-54.655385770643726
3500.0,55,0,-71.57311735768721,-46.96231893382752
3500.0,55,1,-77.1754256257341,-55.96319317760685
3500.0,55,2,-80.01339036131506,-55.753189635291356
3500.0,55,3,-74.77832534379652,-52.25604617494636
3500.0,55,4,-83.7606659766607,-54.67558510772075
3500.0,56,0,-71.69558882487684,-47.07356515241092
3500.0,56,1,-77.32723475431987,-56.011618240235904
3500.0,56,2,-79.94303952058539,-55.68255660640468
3500.0,56,3,-74.70581789347806,-52.1871556108173
3500.0,56,4,-83.7828319661542,-54.69669954506627
3500.0,57,0,-71.82280021403072,-47.18860705746391
3500.0,57,1,-77.47657862372091,-56.06014633618116
3500.0,57,2,-79.85480873200812,-55.61143062366712
3500.0,57,3,-74.64627074335355,-52.11798744107471
3500.0,57,4,-83.83700160631417,-54.71870357998242
3500.0,58,0,-71.9536293936096,-47.30690981989525
3500.0,58,1,-77.62885281660651,-56.10875355209305
3500.0,58,2,-79.78561016151049,-55.5397940590944
3500.0,58,3,-74.58651728257728,-52.048527889766476
3500.0,58,4,-83.92761901731134,-54.741564239268214
3500.0,59,0,-72.08764711577636,-47.4281143720118
3500.0,59,1,-77.77674459633003,-56.15743373624832
3500.0,59,2,-79.7077873299796,-55.46764269838262
3500.0,59,3,-74.52455453810111,-51.978660349404876
3500.0,59,4,-83.89537731134412,-54.76527040242947
3500.0,60,0,-72.22316222022758,-47.55189298609208
3500.0,60,1,-79.67552475540558,-56.20618303713447
3500.0,60,2,-79.63516555386205,-55.39497324706335
3500.0,60,3,-74.32967593769433,-51.90840618887827
3500.0,60,4,-83.85508098005828,-54.78981291495457
3500.0,61,0,-72.3615148630315,-47.6778893982836
3500.0,61,1,-79.71707336042584,-56.25499198907459
3500.0,61,2,-79.57581591976451,-55.32177767361246
3500.0,61,3,-74.23952506999912,-51.83778394003069
3500.0,61,4,-84.41063877203194,-54.81517524411322
3500.0,62,0,-72.5025364500274,-47.80561314585344
3500.0,62,1,-79.75662039953085,-56.303832110394076
3500.0,62,2,-79.46989599538239,-55.248030957457495
3500.0,62,3,-74.1782079633258,-51.76677562550486
3500.0,62,4,-84.35205687175953,-54.84131358914443
3500.0,63,0,-72.64417931561641,-47.934803905846614
3500.0,63,1,-79.79591898417499,-56.352699800283254
3500.0,63,2,-79.40123652907332,-55.17372830394299
3500.0,63,3,-74.12072285038455,-51.695432877256366
3500.0,63,4,-84.12031932075605,-54.86821704210796
3500.0,64,0,-72.78805564664766,-48.065227604388596
3500.0,64,1,-79.84773997108658,-56.40159297563547
3500.0,64,2,-79.31972235465787,-55.09886524931251
3500.0,64,3,-74.04206047025465,-51.62351149815885
3500.0,64,4,-84.04386038049145,-54.89587601190263
3500.0,65,0,-72.93303761222326,-48.19664986913374
3500.0,65,1,-79.8904084300205,-56.45050728075357
