freq_mhz,step,ue_id,sinr_eff_db,prx_dbm,se_la,se_shannon,se_gap_pct,tbler_step,tbler_running
3500.0,1,0,-30.0,-58.645912336976096,0.0,0.0014419741928577423,100.0,,1.0
3500.0,1,1,30.0,-38.695050756410595,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0
3500.0,2,0,30.0,-58.886903337774825,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0
3500.0,2,1,-30.0,-35.64989480845274,0.0,0.0014419741928577423,100.0,,0.0
3500.0,3,0,-30.0,-58.756809936674216,0.0,0.0014419741928577423,100.0,,0.0
3500.0,3,1,30.0,-35.92194102692518,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,4,0,30.0,-58.59595087353357,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,4,1,-30.0,-36.158607686020346,0.0,0.0014419741928577423,100.0,,0.0
3500.0,5,0,-30.0,-56.14626719391488,0.0,0.0014419741928577423,100.0,,0.0
3500.0,5,1,30.0,-36.80490878094817,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,6,0,30.0,-56.49652252611661,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,6,1,-30.0,-37.7320238526152,0.0,0.0014419741928577423,100.0,,0.0
3500.0,7,0,-30.0,-56.578882805693596,0.0,0.0014419741928577423,100.0,,0.0
3500.0,7,1,30.0,-37.90398097312348,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,8,0,30.0,-56.66716354008517,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,8,1,-30.0,-38.51713570352935,0.0,0.0014419741928577423,100.0,,0.0
3500.0,9,0,-30.0,-55.53398197725636,0.0,0.0014419741928577423,100.0,,0.0
3500.0,9,1,30.0,-39.236711592348726,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,10,0,30.0,-59.09651028284409,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,10,1,-30.0,-40.17151041324661,0.0,0.0014419741928577423,100.0,,0.0
3500.0,11,0,-30.0,-52.468013520938314,0.0,0.0014419741928577423,100.0,,0.0
3500.0,11,1,30.0,-42.16502607300785,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,12,0,30.0,-53.672467927454406,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,12,1,-30.0,-41.13576972519765,0.0,0.0014419741928577423,100.0,,0.0
3500.0,13,0,-30.0,-47.8387559725908,0.0,0.0014419741928577423,100.0,,0.0
3500.0,13,1,30.0,-42.38560236047957,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,14,0,28.239809036254883,-44.59230067854385,5.5546875,9.383224487304688,40.80193319987836,0.0,0.0
3500.0,14,1,-30.0,-44.142519349989314,0.0,0.0014419741928577423,100.0,,0.0
3500.0,15,0,-30.0,-44.777103400470196,0.0,0.0014419741928577423,100.0,,0.0
3500.0,15,1,30.0,-45.27776917163021,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,16,0,30.0,-42.599888528079774,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,16,1,-30.0,-47.13959860447447,0.0,0.0014419741928577423,100.0,,0.0
3500.0,17,0,-30.0,-43.73982892054315,0.0,0.0014419741928577423,100.0,,0.0
3500.0,17,1,30.0,-42.77508668515131,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,18,0,30.0,-43.87242780049938,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,18,1,-30.0,-49.02861234265288,0.0,0.0014419741928577423,100.0,,0.0
3500.0,19,0,30.0,-52.811343250091255,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,19,1,30.0,-49.6516767528025,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,20,0,-30.0,-51.58456754472883,0.0,0.0014419741928577423,100.0,,0.0
3500.0,20,1,30.0,-50.92928076535853,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,21,0,30.0,-51.63678955023043,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,21,1,-30.0,-50.80152137969529,0.0,0.0014419741928577423,100.0,,0.0
3500.0,22,0,30.0,-50.43021268185689,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,22,1,-30.0,-52.00125612577011,0.0,0.0014419741928577423,100.0,,0.0
3500.0,23,0,30.0,-50.60248088211479,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,23,1,30.0,-65.89113134199664,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,24,0,-30.0,-65.73922758510781,0.0,0.0014419741928577423,100.0,,0.0
3500.0,24,1,30.0,-51.17766439551801,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,25,0,30.0,-49.11594340957808,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
