freq_mhz,step,ue_id,sinr_eff_db,prx_dbm,prx_dbm_theo,se_la,se_shannon,se_gap_pct,tbler_step,tbler_running,doppler_fd_hz,doppler_slope_rad_per_sym,doppler_nu,doppler_Tc_ms
3500.0,1,0,-30.0,-220.0,-66.00233175280565,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,1,-30.0,-220.0,-61.090248141406335,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,2,-30.0,-220.0,-70.90623652373813,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,3,-30.0,-220.0,-75.64916816126576,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,4,-30.0,-220.0,-72.19892125504882,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,5,-30.0,-220.0,-72.16595388641579,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,6,-30.0,-220.0,-75.85469637827256,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,7,-30.0,-220.0,-74.9256493665219,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,8,-30.0,-220.0,-73.90420358189999,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,9,-30.0,-220.0,-76.14457526050907,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,10,-30.0,-220.0,-67.80776490949484,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,11,-30.0,-220.0,-74.33878430719815,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,12,-30.0,-220.0,-65.26299870604745,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,13,-30.0,-220.0,-70.08926169348487,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,14,-30.0,-220.0,-49.185140173403056,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,15,-30.0,-220.0,-73.92881961412928,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,16,-30.0,-220.0,-66.84938403342355,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,17,-30.0,-220.0,-75.22577095565367,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,18,-30.0,-220.0,-64.7804311392131,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,19,-30.0,-220.0,-75.01837867974629,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,20,-30.0,-220.0,-69.42103981493338,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,21,-30.0,-220.0,-74.03881470610767,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,22,-30.0,-220.0,-68.33452161641117,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,23,-30.0,-220.0,-66.12602512754702,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,24,-30.0,-220.0,-77.35014180349705,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,25,-30.0,-220.0,-73.62660213369821,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,26,-30.0,-220.0,-71.89066537141692,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,27,-30.0,-220.0,-70.23518187829015,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,28,-30.0,-220.0,-74.76397505239564,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,29,-30.0,-220.0,-73.65954180173449,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,30,-30.0,-220.0,-71.01542881947981,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,31,-30.0,-220.0,-75.75210700071989,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,32,-30.0,-220.0,-75.92800584865881,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,33,-30.0,-220.0,-75.60893087970076,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,34,-30.0,-220.0,-75.56521441229687,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,35,-30.0,-220.0,-75.58594372462208,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,36,-30.0,-220.0,-73.53062068948253,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,37,-30.0,-220.0,-73.45471734648737,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,38,-30.0,-220.0,-66.95510304953436,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,39,-30.0,-220.0,-73.35613846368173,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,40,-30.0,-220.0,-70.4751267467023,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,41,-30.0,-220.0,-73.45166746724914,0.0,0.0014419741928577423,100.0,,1.0,0.0,0.0,0.0,1000000000000.0
