freq_mhz,step,ue_id,sinr_eff_db,prx_dbm,prx_dbm_theo,se_la,se_shannon,se_gap_pct,tbler_step,tbler_running,doppler_fd_hz,doppler_slope_rad_per_sym,doppler_nu,doppler_Tc_ms
3500.0,1,0,20.971179962158203,-78.97000492240014,-55.103076582303274,0.740234375,6.977965354919434,89.39183075080564,0.0,0.0,0.4571569859981537,9.574674186296761e-05,1.5238566447806079e-05,925.2839088439941
3500.0,1,1,6.013219356536865,-96.43700475588108,-60.127700543506315,0.740234375,2.319967269897461,68.09289576603736,0.0,0.0,0.5758315324783325,0.0001206018787343055,1.9194385458831675e-05,734.5898747444153
3500.0,1,2,19.74076271057129,-85.13565343972496,-61.74775275413012,0.740234375,6.572973728179932,88.73821187164592,0.0,0.0,0.5527796745300293,0.00011577390250749886,1.84259897650918e-05,765.223503112793
3500.0,2,0,21.20292091369629,-78.96896095921697,-55.10244350474909,5.5546875,7.0543532371521,21.25872757907892,0.0,0.0,-0.18622614443302155,-3.900311276083812e-05,-6.207538262970047e-06,2271.4319229125977
3500.0,2,1,7.434375762939453,-96.61228942162705,-60.127117537860585,1.9140625,2.709087610244751,29.346600207326812,0.0,0.0,1.5829222202301025,0.0003315264475531876,5.276407318888232e-05,267.22729206085205
3500.0,2,2,20.18804359436035,-85.13458680355242,-61.74728671926905,5.5546875,6.7200727462768555,17.34185462385832,0.0,0.0,1.6133217811584473,0.0003378933179192245,5.377739216783084e-05,262.1919512748718
3500.0,3,0,20.46088981628418,-78.96745012909733,-55.101646309375774,5.5546875,6.809876441955566,18.43189010335581,0.0,0.0,-0.6522830724716187,-0.0001366138458251953,-2.174276960431598e-05,648.4914422035217
3500.0,3,1,7.460973739624023,-96.4348945606427,-60.125743442803696,2.16015625,2.7165753841400146,20.4823741460854,0.0,0.0,3.162416458129883,0.0006623349618166685,0.0001054138847393915,133.75847041606903
3500.0,3,2,20.310270309448242,-85.13280703840516,-61.74615028464277,5.5546875,6.760295867919922,17.833662778591908,0.0,0.0,3.2884774208068848,0.0006887371418997645,0.00010961591760860756,128.63096594810486
3500.0,4,0,25.666894912719727,-78.96503123412607,-55.10056171243621,5.5546875,8.530265808105469,34.88259774130451,0.0,0.0,1.4994335174560547,0.00031404063338413835,4.998111762688495e-05,282.10654854774475
3500.0,4,1,7.05376672744751,-96.43273982920078,-60.123244976200844,0.0,2.602719783782959,100.0,1.0,0.25,5.145642280578613,0.0010777008719742298,0.00017152141663245857,82.20548182725906
3500.0,4,2,18.831106185913086,-85.1301917829937,-61.744064136566955,5.5546875,6.274318218231201,11.469464780096427,0.0,0.0,5.429275989532471,0.0011371049331501126,0.00018097586871590465,77.91094481945038
3500.0,5,0,30.0,-78.96152214685256,-55.09909726314212,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0,2.2766780853271484,0.0004768263315781951,7.588927110191435e-05,185.79702079296112
3500.0,5,1,6.412219524383545,-96.4298319535588,-60.119357176087405,1.9140625,2.426924467086792,21.13217671345232,0.0,0.19999999999999996,7.417352676391602,0.0015534867998212576,0.00024724510149098933,57.02843517065048
3500.0,5,2,19.131071090698242,-85.12640405211013,-61.740806170325406,5.5546875,6.372720241546631,12.836476583633893,0.0,0.0,7.876760482788086,0.0016497049946337938,0.00026255869306623936,53.702279925346375
3500.0,6,0,21.89495849609375,-78.95690939198428,-55.09729848315017,5.5546875,7.2826433181762695,23.72704171661927,0.0,0.0,-3.6931662559509277,-0.00077349494677037,-0.00012310555030126125,114.5358681678772
3500.0,6,1,8.715513229370117,-96.42563236632373,-60.113962256102994,1.6953125,3.0771799087524414,44.906942386500944,0.0,0.16666666666666663,9.740872383117676,0.0020401235669851303,0.00032469574944116175,43.425269424915314
3500.0,6,2,21.257671356201172,-85.12144887192747,-61.73627338607845,5.5546875,7.072405815124512,21.45971759537376,0.0,0.0,10.324193000793457,0.0021622939966619015,0.00034413975663483143,40.971726179122925
3500.0,7,0,30.0,-78.95137022503081,-55.0952514797918,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0,3.5204968452453613,0.0007373311091214418,0.00011734989675460383,120.15349417924881
3500.0,7,1,8.221124649047852,-96.59702044147915,-60.10712246547937,2.5703125,2.9334120750427246,12.378062329938288,0.0,0.1428571428571429,12.010499954223633,0.0025154731702059507,0.00040034999256022274,35.219185054302216
3500.0,7,2,19.958248138427734,-85.11545501157384,-61.73051536865251,5.5546875,6.644480228424072,16.40147447142826,0.0,0.0,12.559993743896484,0.0026305587962269783,0.00041866645915433764,33.678360283374786
3500.0,8,0,22.742904663085938,-78.94498713597852,-55.093066379705135,5.5546875,7.562681198120117,26.551346612617376,0.0,0.0,2.104008674621582,0.00044066255213692784,7.013362483121455e-05,201.04479789733887
3500.0,8,1,9.054368019104004,-96.59126317147019,-60.098967700582136,2.40625,3.1768569946289062,24.256899065074922,0.0,0.125,13.963545799255371,0.002924518194049597,0.0004654515360016376,30.293166637420654
3500.0,8,2,20.5090274810791,-85.10862072255713,-61.72363856608869,5.5546875,6.825726509094238,18.621299980313786,0.0,0.0,14.603927612304688,0.0030586395878344774,0.00048679759493097663,28.96481193602085
3500.0,9,0,21.636465072631836,-78.93793894203398,-55.09079825078075,5.5546875,7.1973419189453125,22.823070481359387,0.0,0.0,-1.82961106300354,-0.0003831928479485214,-6.09870367043186e-05,231.19668662548065
3500.0,9,1,10.502469062805176,-96.69127359198994,-60.08964603991495,2.5703125,3.611947536468506,28.838598178724915,0.0,0.11111111111111116,15.411002159118652,0.003227673005312681,0.0005137000698596239,27.44792401790619
