freq_mhz,step,ue_id,sinr_eff_db,prx_dbm,prx_dbm_theo,se_la,se_shannon,se_gap_pct,tbler_step,tbler_running
7000.0,1,0,11.345223426818848,-90.6261781465732,-70.45698142722718,0.740234375,3.8709397315979004,80.87714027274623,0.0,0.0
7000.0,2,0,30.0,-91.35132983004081,-70.38043469828686,3.029296875,9.967226028442383,69.60742270361256,0.0,0.0
7000.0,3,0,30.0,-92.04812304211326,-70.36003916012726,5.33203125,9.967226028442383,46.504361045043375,0.0,0.0
7000.0,4,0,30.0,-92.74263818559459,-70.39667484769849,5.33203125,9.967226028442383,46.504361045043375,0.0,0.0
7000.0,5,0,23.164716720581055,-92.95399704535738,-70.48876847707434,5.33203125,7.702096939086914,30.77169383650845,0.0,0.0
7000.0,6,0,25.68638801574707,-93.14233377420692,-70.63251157773578,5.33203125,8.536723136901855,37.54007053419447,0.0,0.0
7000.0,7,0,30.0,-93.16967561822582,-70.82235888602315,5.33203125,9.967226028442383,46.504361045043375,0.0,0.0
7000.0,8,0,20.001224517822266,-93.18142932987277,-71.05167838448736,5.33203125,6.6586151123046875,19.922819384067513,0.0,0.0
7000.0,9,0,30.0,-91.93824647426977,-71.31340945442821,5.33203125,9.967226028442383,46.504361045043375,0.0,0.0
7000.0,10,0,21.752029418945312,-93.16870447874354,-71.60061836395298,5.33203125,7.2354736328125,26.307087544075713,0.0,0.0
7000.0,11,0,30.0,-91.87092573827903,-71.90689503190248,5.33203125,9.967226028442383,46.504361045043375,0.0,0.0
7000.0,12,0,23.215469360351562,-94.65898960240503,-72.22658544516392,5.33203125,7.718876361846924,30.922183488320766,0.0,0.0
7000.0,13,0,3.3061864376068115,-95.45655073050224,-72.55488620925661,0.0,1.651228427886963,100.0,1.0,0.07692307692307687
7000.0,14,0,17.578035354614258,-96.16064341136817,-72.88784030979777,1.326171875,5.864278316497803,77.38559114308885,0.0,0.0714285714285714
7000.0,15,0,25.681358337402344,-96.81997034685243,-73.22227209141153,4.81640625,8.535057067871094,43.5691382998408,0.0,0.06666666666666665
7000.0,16,0,25.92658042907715,-100.02075974250599,-73.55569170930497,5.33203125,8.616305351257324,38.11696507225189,0.0,0.0625
7000.0,17,0,3.270860195159912,-100.67426976056515,-73.88619000101752,0.0,1.6432397365570068,100.0,1.0,0.11764705882352944
7000.0,18,0,2.0690338611602783,-101.06789484655596,-74.21233657927539,0.0,1.3842086791992188,100.0,1.0,0.16666666666666663
7000.0,19,0,20.975488662719727,-100.18654396445254,-74.53308789172641,0.740234375,6.9793853759765625,89.39398908179037,0.0,0.1578947368421053
7000.0,20,0,2.6592905521392822,-101.60274783223983,-74.84770798155142,0.0,1.5082837343215942,100.0,1.0,0.19999999999999996
7000.0,21,0,18.9174747467041,-102.08618615144925,-75.15570228237388,0.740234375,6.302642822265625,88.25517491829076,0.0,0.19047619047619047
7000.0,22,0,1.123599648475647,-103.51604132261825,-75.45676350263355,0.0,1.1986632347106934,100.0,1.0,0.2272727272727273
7000.0,23,0,1.80095374584198,-103.6436064528732,-75.75072808990936,0.490234375,1.3299236297607422,63.138155903869844,0.0,0.21739130434782605
