freq_mhz,step,ue_id,sinr_eff_db,prx_dbm,se_la,se_shannon,se_gap_pct,tbler_step,tbler_running
3500.0,1,0,-30.0,-58.69695438890946,0.0,0.0014419741928577423,100.0,,1.0
3500.0,1,1,30.0,-38.84159995711137,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0
3500.0,2,0,30.0,-58.69695394243158,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0
3500.0,2,1,-30.0,-38.84161886423409,0.0,0.0014419741928577423,100.0,,0.0
3500.0,3,0,-30.0,-58.696954835387416,0.0,0.0014419741928577423,100.0,,0.0
3500.0,3,1,30.0,-38.84159995711137,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,4,0,24.987348556518555,-58.696954835387416,5.5546875,8.30518627166748,33.11784566531158,0.0,0.0
3500.0,4,1,-30.0,-38.84159966168822,0.0,0.0014419741928577423,100.0,,0.0
3500.0,5,0,-30.0,-58.696954835387416,0.0,0.0014419741928577423,100.0,,0.0
3500.0,5,1,30.0,-38.84159995711137,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,6,0,24.987314224243164,-58.696954835387416,5.5546875,8.305173873901367,33.117745825221625,0.0,0.0
3500.0,6,1,-30.0,-38.84159995711137,0.0,0.0014419741928577423,100.0,,0.0
3500.0,7,0,-30.0,-58.696954835387416,0.0,0.0014419741928577423,100.0,,0.0
3500.0,7,1,30.0,-38.84159966168822,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,8,0,24.678447723388672,-58.696954835387416,5.5546875,8.20290756225586,32.283919356121324,0.0,0.0
3500.0,8,1,30.0,-38.841599366265115,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,9,0,30.0,-58.696954835387416,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,9,1,30.0,-38.84159995711137,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,10,0,24.987329483032227,-58.69695438890946,5.5546875,8.305179595947266,33.11779190530017,0.0,0.0
3500.0,10,1,-30.0,-38.84159966168822,0.0,0.0014419741928577423,100.0,,0.0
3500.0,11,0,-30.0,-58.69695394243158,0.0,0.0014419741928577423,100.0,,0.0
3500.0,11,1,30.0,-38.90494133684088,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,12,0,24.9872989654541,-58.696954835387416,5.5546875,8.305170059204102,33.11771510513398,0.0,0.0
3500.0,12,1,-30.0,-38.84159995711137,0.0,0.0014419741928577423,100.0,,0.0
3500.0,13,0,-30.0,-58.696954835387416,0.0,0.0014419741928577423,100.0,,0.0
3500.0,13,1,28.55860137939453,-38.84159966168822,5.5546875,9.488971710205078,41.46164969565548,0.0,0.0
3500.0,14,0,25.011693954467773,-58.69695438890946,5.5546875,8.313247680664062,33.182701714520654,0.0,0.0
3500.0,14,1,30.0,-38.84159966168822,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,15,0,24.98733139038086,-58.696954835387416,5.5546875,8.305180549621582,33.1177995853071,0.0,0.0
3500.0,15,1,-30.0,-38.84159966168822,0.0,0.0014419741928577423,100.0,,0.0
3500.0,16,0,-30.0,-58.69695438890946,0.0,0.0014419741928577423,100.0,,0.0
3500.0,16,1,30.0,-38.84159995711137,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,17,0,24.304317474365234,-58.696954835387416,5.5546875,8.079065322875977,31.245914248621908,0.0,0.0
3500.0,17,1,30.0,-38.84159966168822,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,18,0,24.987329483032227,-58.69695438890946,5.5546875,8.30517864227295,33.117784225291494,0.0,0.0
3500.0,18,1,-30.0,-38.84159995711137,0.0,0.0014419741928577423,100.0,,0.0
3500.0,19,0,-30.0,-58.696954835387416,0.0,0.0014419741928577423,100.0,,0.0
3500.0,19,1,30.0,-38.841599366265115,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,20,0,24.363643646240234,-58.696954835387416,5.5546875,8.098700523376465,31.412607689756,0.0,0.0
3500.0,20,1,30.0,-38.84159995711137,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,21,0,22.18924903869629,-58.69695438890946,5.5546875,7.379797458648682,24.731165982201343,0.0,0.0
3500.0,21,1,-30.0,-38.84159966168822,0.0,0.0014419741928577423,100.0,,0.0
3500.0,22,0,-30.0,-58.69695438890946,0.0,0.0014419741928577423,100.0,,0.0
3500.0,22,1,30.0,-38.841599366265115,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,23,0,24.27164077758789,-58.696954835387416,5.5546875,8.06825065612793,31.15375641210216,0.0,0.0
3500.0,23,1,30.0,-38.84159966168822,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,24,0,24.98729133605957,-58.69695438890946,5.5546875,8.305167198181152,33.11769206504973,0.0,0.0
3500.0,24,1,-30.0,-38.841599366265115,0.0,0.0014419741928577423,100.0,,0.0
3500.0,25,0,-30.0,-58.69695394243158,0.0,0.0014419741928577423,100.0,,0.0
3500.0,25,1,30.0,-38.84210102367702,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,26,0,24.27159881591797,-58.696954835387416,5.5546875,8.068235397338867,31.153626208872222,0.0,0.0
3500.0,26,1,30.0,-38.84161886423409,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,27,0,24.987287521362305,-58.696954835387416,5.5546875,8.305166244506836,33.11768438501812,0.0,0.0
