freq_mhz,step,ue_id,sinr_eff_db,prx_dbm,prx_dbm_theo,se_la,se_shannon,se_gap_pct,tbler_step,tbler_running
3500.0,1,0,-30.0,-56.981098571362,-31.566043263971764,0.0,0.0014419741928577423,100.0,,1.0
3500.0,1,1,-30.0,-51.55523498805627,-27.39669180823373,0.0,0.0014419741928577423,100.0,,1.0
3500.0,1,2,30.0,-43.168659850111794,-27.39669180823373,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0
3500.0,1,3,-30.0,-71.47427066509202,-38.49209554189464,0.0,0.0014419741928577423,100.0,,1.0
3500.0,1,4,-30.0,-58.681310330917725,-34.021962691939635,0.0,0.0014419741928577423,100.0,,1.0
3500.0,2,0,-30.0,-57.540003579913446,-31.566043263971764,0.0,0.0014419741928577423,100.0,,1.0
3500.0,2,1,30.0,-51.555235677848145,-27.39669180823373,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0
3500.0,2,2,-30.0,-43.16866025016758,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,2,3,-30.0,-71.47427066509202,-38.49209554189464,0.0,0.0014419741928577423,100.0,,1.0
3500.0,2,4,-30.0,-58.68130988604521,-34.021962691939635,0.0,0.0014419741928577423,100.0,,1.0
3500.0,3,0,30.0,-57.060809283074136,-31.566043263971764,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0
3500.0,3,1,-30.0,-51.55543744667446,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,3,2,-30.0,-43.168659850111794,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,3,3,-30.0,-71.47427066509202,-38.49209554189464,0.0,0.0014419741928577423,100.0,,1.0
3500.0,3,4,30.0,-58.681310330917725,-34.021962691939635,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0
3500.0,4,0,-30.0,-56.981098571362,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.0
3500.0,4,1,-30.0,-51.55523498805627,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,4,2,-30.0,-43.16866025016758,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,4,3,30.0,-71.47427092956521,-38.49209554189464,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0
3500.0,4,4,-30.0,-58.681310330917725,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,5,0,-30.0,-57.53174175090804,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.0
3500.0,5,1,-30.0,-51.55523533295221,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,5,2,30.0,-43.168659850111794,-27.39669180823373,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,5,3,-30.0,-71.47427066509202,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,5,4,-30.0,-58.681310330917725,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,6,0,-30.0,-56.98109887211807,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.0
3500.0,6,1,30.0,-51.55523498805627,-27.39669180823373,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,6,2,-30.0,-43.168659850111794,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,6,3,-30.0,-71.47427066509202,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,6,4,-30.0,-58.681310330917725,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,7,0,30.0,-57.53174175090804,-31.566043263971764,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,7,1,-30.0,-51.555235677848145,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,7,2,-30.0,-43.168659850111794,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,7,3,-30.0,-71.47427066509202,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,7,4,-30.0,-58.68130988604521,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,8,0,-30.0,-57.53174175090804,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.0
3500.0,8,1,-30.0,-51.555235677848145,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,8,2,-30.0,-43.16866025016758,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,8,3,-30.0,-71.47427066509202,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,8,4,30.0,-58.681310330917725,-34.021962691939635,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,9,0,-30.0,-57.62234080065382,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.0
3500.0,9,1,-30.0,-51.55523533295221,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,9,2,-30.0,-43.16866025016758,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,9,3,25.637718200683594,-71.47427092956521,-38.49209554189464,5.5546875,8.520599365234375,34.808723401969175,0.0,0.0
3500.0,9,4,-30.0,-58.681310330917725,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,10,0,-30.0,-57.540003579913446,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.0
3500.0,10,1,-30.0,-51.55523533295221,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,10,2,30.0,-43.168659850111794,-27.39669180823373,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,10,3,-30.0,-71.47427066509202,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,10,4,-30.0,-58.68130988604521,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,11,0,-30.0,-57.53174175090804,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.0
3500.0,11,1,30.0,-51.55523498805627,-27.39669180823373,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,11,2,-30.0,-43.16865945005608,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,11,3,-30.0,-71.47427066509202,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,11,4,-30.0,-58.681310330917725,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,12,0,30.0,-56.98109887211807,-31.566043263971764,0.0,9.967226028442383,100.0,1.0,0.33333333333333337
3500.0,12,1,-30.0,-51.55543744667446,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,12,2,-30.0,-43.168659850111794,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,12,3,-30.0,-71.47427119403842,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,12,4,-30.0,-58.681310330917725,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,13,0,30.0,-57.53174175090804,-31.566043263971764,5.5546875,9.967226028442383,44.270477220550674,0.0,0.25
3500.0,13,1,-30.0,-51.555235677848145,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,13,2,-30.0,-43.168659850111794,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,13,3,-30.0,-71.47427066509202,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,13,4,-30.0,-58.681310330917725,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,14,0,-30.0,-57.53174175090804,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.25
3500.0,14,1,-30.0,-51.555437791586456,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,14,2,-30.0,-43.16866025016758,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,14,3,-30.0,-71.47427040061885,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,14,4,30.0,-58.681310330917725,-34.021962691939635,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,15,0,-30.0,-57.53174175090804,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.25
3500.0,15,1,-30.0,-51.555236022744126,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,15,2,-30.0,-43.168659850111794,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,15,3,25.562755584716797,-71.47427066509202,-38.49209554189464,5.5546875,8.495765686035156,34.61816503331217,0.0,0.0
3500.0,15,4,-30.0,-58.68130988604521,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,16,0,-30.0,-57.54000323785141,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.25
3500.0,16,1,-30.0,-51.55523533295221,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,16,2,30.0,-43.16866025016758,-27.39669180823373,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,16,3,-30.0,-71.47427092956521,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,16,4,-30.0,-58.68130988604521,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,17,0,-30.0,-57.53174175090804,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.25
3500.0,17,1,30.0,-51.555235677848145,-27.39669180823373,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,17,2,-30.0,-43.16866025016758,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,17,3,-30.0,-71.47427040061885,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,17,4,-30.0,-58.681310330917725,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,18,0,30.0,-57.06822167646018,-31.566043263971764,5.5546875,9.967226028442383,44.270477220550674,0.0,0.19999999999999996
3500.0,18,1,-30.0,-51.555236022744126,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,18,2,-30.0,-43.16866025016758,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,18,3,-30.0,-71.47427092956521,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,18,4,-30.0,-58.68130988604521,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,19,0,-30.0,-57.53174175090804,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.19999999999999996
3500.0,19,1,-30.0,-51.555235677848145,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,19,2,-30.0,-43.168659850111794,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,19,3,-30.0,-71.47427040061885,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,19,4,30.0,-58.681310330917725,-34.021962691939635,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,20,0,-30.0,-57.53174175090804,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.19999999999999996
3500.0,20,1,-30.0,-51.55523533295221,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,20,2,-30.0,-43.16865945005608,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,20,3,25.554759979248047,-71.47427066509202,-38.49209554189464,5.5546875,8.49311637878418,34.59777009678544,0.0,0.0
3500.0,20,4,-30.0,-58.681310330917725,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,21,0,-30.0,-57.540003921975526,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.19999999999999996
3500.0,21,1,-30.0,-51.555235677848145,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,21,2,30.0,-43.16866025016758,-27.39669180823373,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,21,3,-30.0,-71.47427092956521,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,21,4,-30.0,-58.68130988604521,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,22,0,-30.0,-57.53174209232,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.19999999999999996
3500.0,22,1,30.0,-51.555236022744126,-27.39669180823373,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,22,2,-30.0,-43.16866025016758,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,22,3,-30.0,-71.47427066509202,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,22,4,-30.0,-58.68130988604521,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,23,0,30.0,-56.98109887211807,-31.566043263971764,5.5546875,9.967226028442383,44.270477220550674,0.0,0.16666666666666663
3500.0,23,1,-30.0,-51.55523498805627,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,23,2,-30.0,-43.168659850111794,-27.39669180823373,0.0,0.0014419741928577423,100.0,,0.0
3500.0,23,3,-30.0,-71.47427092956521,-38.49209554189464,0.0,0.0014419741928577423,100.0,,0.0
3500.0,23,4,-30.0,-58.68130988604521,-34.021962691939635,0.0,0.0014419741928577423,100.0,,0.0
3500.0,24,0,-30.0,-57.53174140949609,-31.566043263971764,0.0,0.0014419741928577423,100.0,,0.16666666666666663
