freq_mhz,step,ue_id,sinr_eff_db,prx_dbm,prx_dbm_theo,se_la,se_shannon,se_gap_pct,tbler_step,tbler_running,doppler_fd_hz,doppler_slope_rad_per_sym,doppler_nu,doppler_Tc_ms
3500.0,1,0,30.0,-42.996247418886725,-34.021962691939635,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,1,30.0,-55.86320834018437,-31.566043263971764,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0,-9.3427152633667,-0.001956733874976635,-0.0003114238497801125,45.27591913938522
3500.0,1,2,30.0,-50.80034957724675,-27.39669180823373,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0,-178.05087280273438,-0.03729088604450226,-0.005935029126703739,2.375725656747818
3500.0,1,3,30.0,-43.052850210099805,-27.39669180823373,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0,306.1556396484375,0.06412108987569809,0.01020518783479929,1.381650217808783
3500.0,1,4,30.0,-43.33210020289167,-20.058684771746158,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0,-0.038756147027015686,-8.117067409330048e-06,-1.2918716265630792e-06,10914.398193359375
3500.0,1,5,30.0,-43.40822429336518,-20.112412770124212,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0,64.22773742675781,0.013451825827360153,0.0021409245673567057,6.585939787328243
3500.0,1,6,30.0,-45.794125457376126,-30.219145675264365,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0,-373.62994384765625,-0.078252874314785,-0.01245433185249567,1.1321362107992172
3500.0,1,7,30.0,-55.863208805187,-31.566043263971764,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0,-70.76935577392578,-0.014821898192167282,-0.0023589786142110825,5.977163556963205
3500.0,1,8,15.671066284179688,-68.89929539494518,-38.49209554189464,0.740234375,5.244385719299316,85.88520344192189,0.0,0.0,-802.943359375,-0.1681680679321289,-0.026764778420329094,0.5268117529340088
3500.0,1,9,9.476022720336914,-57.351818921136385,-34.021962691939635,0.740234375,3.302090883255005,77.58285882578977,0.0,0.0,-1012.4453125,-0.2120460569858551,-0.03374817594885826,0.4178003582637757
