freq_mhz,step,ue_id,sinr_eff_db,prx_dbm,prx_dbm_theo,se_la,se_shannon,se_gap_pct,tbler_step,tbler_running,doppler_fd_hz,doppler_slope_rad_per_sym,doppler_nu,doppler_Tc_ms
28000.0,1,0,-6.928625583648682,-113.74017393347324,-69.51514817992198,0.0,0.2664356827735901,100.0,1.0,1.0,1202.138916015625,0.2517753839492798,0.04007129743695259,0.3518728190101683
28000.0,1,1,15.571633338928223,-95.19536397174596,-71.93035600847278,0.740234375,5.212235927581787,85.79814142558526,0.0,0.0,9102.14453125,1.9063489437103271,0.3034048080444336,0.04647256719181314
28000.0,1,2,-30.0,-143.32399131965383,-77.89562309442292,0.0,0.0014419741928577423,100.0,1.0,1.0,-7152.541015625,-1.4980247020721436,-0.23841804265975952,0.059139823861187324
28000.0,2,0,-7.118278503417969,-113.01786278833805,-69.40514277330163,0.0,0.256002813577652,100.0,1.0,1.0,941.0518798828125,0.19709345698356628,0.03136839717626572,0.44949701987206936
28000.0,2,1,16.457963943481445,-95.03614857759385,-71.77397301758926,4.5234375,5.4994659423828125,17.74769500545208,0.0,0.0,9134.712890625,1.9131697416305542,0.30449044704437256,0.04630687544704415
28000.0,2,2,-30.0,-143.42580060616174,-77.9579869808158,0.0,0.0014419741928577423,100.0,1.0,1.0,-5780.841796875,-1.2107367515563965,-0.19269472360610962,0.07317273411899805
28000.0,3,0,-11.187780380249023,-112.86519637553289,-69.29815446193246,0.0,0.10577392578125,100.0,1.0,1.0,5741.66357421875,1.2025312185287476,0.1913887858390808,0.07367203215835616
28000.0,3,1,14.26319694519043,-94.87401214307619,-71.6144997849327,0.0,4.791200637817383,100.0,1.0,0.33333333333333337,9189.185546875,1.9245784282684326,0.3063061833381653,0.046032371756155044
28000.0,3,2,-30.0,-143.46433482854212,-78.0200370074984,0.0,0.0014419741928577423,100.0,1.0,1.0,-4510.6513671875,-0.9447087049484253,-0.1503550410270691,0.0937780350795947
28000.0,4,0,-7.7190423011779785,-112.7166585404585,-69.1945248039895,0.0,0.22537532448768616,100.0,1.0,1.0,969.2255859375,0.20299413800239563,0.032307520508766174,0.4364309133961797
28000.0,4,1,4.1294846534729,-94.73029217141499,-71.45181628298351,0.0,1.843142032623291,100.0,1.0,0.5,9210.845703125,1.9291150569915771,0.307028204202652,0.04592412369675003
28000.0,4,2,-30.0,-143.5080608574103,-78.08177250090611,0.0,0.0014419741928577423,100.0,1.0,1.0,-4698.91015625,-0.9841374754905701,-0.15663033723831177,0.09002087608678266
28000.0,5,0,-5.925689697265625,-112.3727716068052,-69.09460746015957,0.0,0.3282891511917114,100.0,1.0,1.0,3140.667236328125,0.6577798128128052,0.10468891263008118,0.13468475663103163
28000.0,5,1,11.457565307617188,-94.56353382394249,-71.28579567634516,1.17578125,3.9057390689849854,69.89606245494635,0.0,0.4,9137.353515625,1.9137228727340698,0.3045784533023834,0.04629349132301286
28000.0,5,2,-30.0,-143.57964254667257,-78.14319297563597,0.0,0.0014419741928577423,100.0,1.0,1.0,-7283.5048828125,-1.525453805923462,-0.24278350174427032,0.0580764353799168
28000.0,6,0,-5.061130046844482,-103.62252832901787,-68.99876595599491,0.0,0.39155638217926025,100.0,1.0,1.0,971.1840209960938,0.20340430736541748,0.03237280249595642,0.4355508426669985
28000.0,6,1,13.741567611694336,-94.3937209446179,-71.11630382944674,2.73046875,4.624553680419922,40.957140111474146,0.0,0.33333333333333337,9107.4658203125,1.9074633121490479,0.30358219146728516,0.04644541331799701
28000.0,6,2,-30.0,-143.66375129792343,-78.20429812340345,0.0,0.0014419741928577423,100.0,1.0,1.0,-7357.37451171875,-1.5409250259399414,-0.2452458143234253,0.057493336498737335
28000.0,7,0,-2.2503647804260254,-103.61194279957759,-68.90737096360895,0.490234375,0.6741099953651428,27.276797797003972,0.0,0.8571428571428572,3659.8837890625,0.7665243148803711,0.12199612706899643,0.1155774443759583
28000.0,7,1,-1.6526137590408325,-94.22106511862332,-70.94319877329798,0.0,0.7514638900756836,100.0,1.0,0.4285714285714286,9326.2900390625,1.9532936811447144,0.31087633967399597,0.045355656766332686
28000.0,7,2,-29.364545822143555,-138.5563791638432,-78.26508780255034,0.0,0.00166904681827873,100.0,1.0,1.0,-4676.9892578125,-0.9795463681221008,-0.15589964389801025,0.09044280159287155
28000.0,8,0,-1.844599723815918,-103.47501473873515,-68.82079709579719,0.490234375,0.7259097099304199,32.466205053657426,0.0,0.75,811.5016479492188,0.16996051371097565,0.02705005556344986,0.5212558899074793
28000.0,8,1,9.908282279968262,-94.0441857496838,-70.76633012791257,0.490234375,3.431760311126709,85.71478394308234,0.0,0.375,9091.125,1.9040406942367554,0.30303749442100525,0.04652889401768334
28000.0,8,2,-30.0,-138.47702574492837,-78.3255620280789,0.0,0.0014419741928577423,100.0,1.0,1.0,-4744.908203125,-0.9937713146209717,-0.15816360712051392,0.0891481977305375
28000.0,9,0,0.2794991433620453,-103.48225044592039,-68.7394192228798,0.490234375,1.047170639038086,53.184862454669144,0.0,0.6666666666666667,3370.77490234375,0.7059735059738159,0.11235916614532471,0.12549043458420783
28000.0,9,1,0.10362867265939713,-93.86407395401257,-70.58553847686514,0.0,1.0173150300979614,100.0,1.0,0.4444444444444444,9284.986328125,1.9446430206298828,0.3094995617866516,0.04555741907097399
28000.0,9,2,-29.51710319519043,-138.40277536259805,-78.38572096218884,0.0,0.0016114668687805533,100.0,1.0,1.0,-4807.07958984375,-1.006792426109314,-0.16023598611354828,0.08799521310720593
