freq_mhz,step,ue_id,sinr_eff_db,prx_dbm,prx_dbm_theo,se_la,se_shannon,se_gap_pct,tbler_step,tbler_running,doppler_fd_hz,doppler_slope_rad_per_sym,doppler_nu,doppler_Tc_ms
3500.0,1,0,30.0,-75.78284605930456,-51.41330407703528,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,1,21.15126609802246,-77.29060521031259,-53.9394510308321,0.740234375,7.03732442855835,89.48130951592859,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,1,2,30.0,-73.40094462464891,-59.719826062949835,0.740234375,9.967226028442383,92.57331605716902,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,2,0,24.637039184570312,-75.87884146577045,-51.26831466502847,5.5546875,8.18919849395752,32.170559742829774,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,2,1,27.735227584838867,-77.20421188445269,-53.85549354489034,5.5546875,9.21587085723877,39.72693860356157,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,2,2,30.0,-73.35595263241473,-59.67714165236971,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,3,0,23.981544494628906,-75.81446189914507,-51.13496907270732,5.5546875,7.972253799438477,30.324753328961474,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,3,1,25.618162155151367,-77.1384853255981,-53.77304244554189,5.5546875,8.514121055603027,34.75912001104875,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,3,2,29.34722328186035,-73.2828600624562,-59.62540017935612,5.5546875,9.750612258911133,43.032423477576565,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,4,0,26.96425437927246,-75.73722515699086,-50.98797327747751,5.5546875,8.96023178100586,38.00732351840522,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,4,1,21.18378257751465,-77.06672941242348,-53.69226694476794,5.5546875,7.048043727874756,21.18823726885499,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,4,2,30.0,-73.20188281456034,-59.57483106142036,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,5,0,26.492708206176758,-75.65528593908347,-50.833665881503535,5.5546875,8.80391788482666,36.90664119467345,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,5,1,22.617416381835938,-77.01342141207007,-53.6028631793346,5.5546875,7.521218776702881,26.146444281002022,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,5,2,25.658103942871094,-73.15224970150584,-59.52764267626168,5.5546875,8.527353286743164,34.86035686318455,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,6,0,21.8660831451416,-75.76219808541799,-50.657252465384715,5.5546875,7.273113250732422,23.62710013568635,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,6,1,22.678865432739258,-76.95218709513112,-53.515230592210806,5.5546875,7.541521072387695,26.34526315470005,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,6,2,25.412424087524414,-73.09343071867093,-59.476567640501145,5.5546875,8.445967674255371,34.23266919512899,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,7,0,20.55831527709961,-75.71076316873864,-50.4860577347005,5.5546875,6.84195613861084,18.81433631745264,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,7,1,14.155668258666992,-76.87995479619224,-53.43071591401499,0.0,4.756786346435547,100.0,1.0,0.1428571428571429,0.0,0.0,0.0,1000000000000.0
3500.0,7,2,27.734647750854492,-73.02754994836704,-59.42265670471911,5.5546875,9.215679168701172,39.725684908116655,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,8,0,27.67245864868164,-75.5950326654301,-50.316880254072096,5.5546875,9.195055961608887,39.59049816344914,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,8,1,27.663314819335938,-76.80490427568871,-53.34632889686474,3.90234375,9.192022323608398,57.546406953588594,0.0,0.125,0.0,0.0,0.0,1000000000000.0
3500.0,8,2,29.12484359741211,-72.952387105555,-59.370965658952166,5.5546875,9.676828384399414,42.59805713868978,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,9,0,26.10675048828125,-75.59507244693405,-50.316880254072096,5.5546875,8.676006317138672,35.976447031542456,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,9,1,24.688974380493164,-76.74489489234774,-53.26436112546137,5.5546875,8.206393241882324,32.31268187769777,0.0,0.11111111111111116,0.0,0.0,0.0,1000000000000.0
3500.0,9,2,27.06899642944336,-72.87644023752654,-59.317265325658134,5.5546875,8.994956970214844,38.246647333685615,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,10,0,26.867830276489258,-75.62081740951724,-50.316880254072096,5.5546875,8.928264617919922,37.785362131279285,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,10,1,26.440885543823242,-76.67236809818347,-53.17539141075639,5.5546875,8.786742210388184,36.783310958719895,0.0,0.09999999999999998,0.0,0.0,0.0,1000000000000.0
3500.0,10,2,27.324054718017578,-72.82505634329632,-59.27151825665746,5.5546875,9.079524040222168,38.82182066600838,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,11,0,25.148221969604492,-75.59506982396653,-50.316880254072096,5.5546875,8.358461380004883,33.544138718066854,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,11,1,22.357879638671875,-76.61050991772245,-53.08151311944014,5.5546875,7.435485363006592,25.294890261825188,0.0,0.09090909090909094,0.0,0.0,0.0,1000000000000.0
3500.0,11,2,22.804901123046875,-72.76098888233832,-59.21885279109986,5.5546875,7.583167552947998,26.749772292179085,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,12,0,22.73632049560547,-75.59507288409546,-50.316880254072096,5.5546875,7.560504913330078,26.530204481364482,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,12,1,15.368964195251465,-76.5352489665199,-52.9923148314562,0.0,5.146768569946289,100.0,1.0,0.16666666666666663,0.0,0.0,0.0,1000000000000.0
3500.0,12,2,28.557897567749023,-72.67561874232966,-59.16499366674543,5.5546875,9.488738059997559,41.46020825026938,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,13,0,26.867813110351562,-75.5950326654301,-50.316880254072096,5.5546875,8.928258895874023,37.785322258442086,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,13,1,27.86618423461914,-76.45432101730754,-52.90326714099395,4.212890625,9.259302139282227,54.50099195783906,0.0,0.15384615384615385,0.0,0.0,0.0,1000000000000.0
3500.0,13,2,24.10059356689453,-72.61456029394478,-59.11734123465866,5.5546875,8.011645317077637,30.667331363763463,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,14,0,26.779170989990234,-75.59503222827274,-50.316880254072096,5.5546875,8.898874282836914,37.57988568606686,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,14,1,26.7291316986084,-76.3772275664611,-52.81137374147356,5.5546875,8.882286071777344,37.46331231495106,0.0,0.1428571428571429,0.0,0.0,0.0,1000000000000.0
3500.0,14,2,24.657123565673828,-72.54386255466491,-59.065752172058225,5.5546875,8.195847511291504,32.225587502119225,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,15,0,26.409610748291016,-75.59507157261137,-50.316880254072096,5.5546875,8.776376724243164,36.70864783349405,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,15,1,26.700923919677734,-76.2909463162674,-52.721720632857654,5.5546875,8.87293529510498,37.39740778832898,0.0,0.1333333333333333,0.0,0.0,0.0,1000000000000.0
3500.0,15,2,30.0,-72.47019210892222,-59.01243654580868,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,16,0,24.536121368408203,-75.59507288409546,-50.316880254072096,5.5546875,8.155790328979492,31.892713324632016,0.0,0.0,0.0,0.0,0.0,1000000000000.0
3500.0,16,1,19.896778106689453,-76.19269551641521,-52.62990988920399,5.5546875,6.624266147613525,16.14637189658894,0.0,0.125,0.0,0.0,0.0,1000000000000.0
3500.0,16,2,27.692724227905273,-73.55684715589426,-58.95652404076858,5.5546875,9.201776504516602,39.634618410113134,0.0,0.0,0.0,0.0,0.0,1000000000000.0
